période_de_référence,géo,dguid,personnes_à_faible_revenu,lignes_de_faible_revenu,statistiques,unité_de_mesure,identificateur_d'unité_de_mesure,facteur_scalaire,identificateur_scalaire,vecteur,coordonnées,valeur,status,décimales
2022,Canada,2021A000011124,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132195,1.1.6.2,9.9,A,1
2023,Canada,2021A000011124,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132195,1.1.6.2,10.2,A,1
2022,Canada,2021A000011124,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132198,1.2.6.2,9.9,B,1
2023,Canada,2021A000011124,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132198,1.2.6.2,10.7,B,1
2022,Canada,2021A000011124,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132201,1.3.6.2,11.1,A,1
2023,Canada,2021A000011124,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132201,1.3.6.2,11.6,A,1
2022,Canada,2021A000011124,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132204,1.4.6.2,6.0,B,1
2023,Canada,2021A000011124,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132204,1.4.6.2,5.0,B,1
2022,Canada,2021A000011124,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132231,1.13.6.2,6.6,A,1
2023,Canada,2021A000011124,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132231,1.13.6.2,7.0,A,1
2022,Canada,2021A000011124,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132240,1.16.6.2,3.3,C,1
2023,Canada,2021A000011124,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132240,1.16.6.2,2.7,C,1
2022,Canada,2021A000011124,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132249,1.19.6.2,9.8,B,1
2023,Canada,2021A000011124,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132249,1.19.6.2,10.6,B,1
2022,Canada,2021A000011124,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132252,1.20.6.2,6.8,C,1
2023,Canada,2021A000011124,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132252,1.20.6.2,7.5,C,1
2022,Canada,2021A000011124,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132255,1.21.6.2,26.9,B,1
2023,Canada,2021A000011124,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132255,1.21.6.2,29.3,B,1
2022,Canada,2021A000011124,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132270,1.26.6.2,26.0,A,1
2023,Canada,2021A000011124,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132270,1.26.6.2,25.7,A,1
2022,Canada,2021A000011124,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132279,1.29.6.2,13.8,B,1
2023,Canada,2021A000011124,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132279,1.29.6.2,11.5,B,1
2022,Canada,2021A000011124,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132288,1.32.6.2,31.0,A,1
2023,Canada,2021A000011124,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132288,1.32.6.2,31.4,A,1
2022,Provinces de l'Atlantique,2021A00011,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132297,2.1.6.2,11.5,A,1
2023,Provinces de l'Atlantique,2021A00011,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132297,2.1.6.2,12.1,A,1
2022,Provinces de l'Atlantique,2021A00011,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132300,2.2.6.2,12.1,C,1
2023,Provinces de l'Atlantique,2021A00011,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132300,2.2.6.2,14.9,C,1
2022,Provinces de l'Atlantique,2021A00011,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132303,2.3.6.2,12.4,A,1
2023,Provinces de l'Atlantique,2021A00011,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132303,2.3.6.2,13.1,A,1
2022,Provinces de l'Atlantique,2021A00011,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132306,2.4.6.2,8.5,B,1
2023,Provinces de l'Atlantique,2021A00011,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132306,2.4.6.2,7.2,C,1
2022,Provinces de l'Atlantique,2021A00011,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132333,2.13.6.2,7.4,B,1
2023,Provinces de l'Atlantique,2021A00011,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132333,2.13.6.2,8.5,B,1
2022,Provinces de l'Atlantique,2021A00011,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132342,2.16.6.2,3.9,C,1
2023,Provinces de l'Atlantique,2021A00011,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132342,2.16.6.2,3.2,D,1
2022,Provinces de l'Atlantique,2021A00011,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132351,2.19.6.2,11.8,C,1
2023,Provinces de l'Atlantique,2021A00011,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132351,2.19.6.2,14.8,C,1
2022,Provinces de l'Atlantique,2021A00011,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132354,2.20.6.2,6.6,D,1
2023,Provinces de l'Atlantique,2021A00011,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132354,2.20.6.2,9.6,C,1
2022,Provinces de l'Atlantique,2021A00011,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132357,2.21.6.2,33.9,C,1
2023,Provinces de l'Atlantique,2021A00011,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132357,2.21.6.2,37.0,C,1
2022,Provinces de l'Atlantique,2021A00011,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132372,2.26.6.2,30.1,B,1
2023,Provinces de l'Atlantique,2021A00011,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132372,2.26.6.2,28.2,B,1
2022,Provinces de l'Atlantique,2021A00011,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132381,2.29.6.2,21.5,C,1
2023,Provinces de l'Atlantique,2021A00011,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132381,2.29.6.2,18.5,C,1
2022,Provinces de l'Atlantique,2021A00011,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132390,2.32.6.2,34.2,B,1
2023,Provinces de l'Atlantique,2021A00011,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132390,2.32.6.2,33.0,B,1
2022,Terre-Neuve-et-Labrador,2021A000210,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132399,3.1.6.2,9.8,B,1
2023,Terre-Neuve-et-Labrador,2021A000210,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132399,3.1.6.2,11.5,C,1
2022,Terre-Neuve-et-Labrador,2021A000210,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132402,3.2.6.2,11.0,D,1
2023,Terre-Neuve-et-Labrador,2021A000210,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132402,3.2.6.2,14.9,D,1
2022,Terre-Neuve-et-Labrador,2021A000210,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132405,3.3.6.2,11.2,B,1
2023,Terre-Neuve-et-Labrador,2021A000210,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132405,3.3.6.2,13.2,B,1
2022,Terre-Neuve-et-Labrador,2021A000210,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132408,3.4.6.2,5.5,D,1
2023,Terre-Neuve-et-Labrador,2021A000210,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132408,3.4.6.2,5.1,D,1
2022,Terre-Neuve-et-Labrador,2021A000210,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132435,3.13.6.2,6.0,C,1
2023,Terre-Neuve-et-Labrador,2021A000210,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132435,3.13.6.2,8.1,C,1
