"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Estimates";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2020";"Canada";"2016A000011124";"Revenu disponible des ménages";"Dollars";"81";"millions";"6";"v1043020117";"1.1";"1387661";"";"";"";"0"
"2021";"Canada";"2016A000011124";"Revenu disponible des ménages";"Dollars";"81";"millions";"6";"v1043020117";"1.1";"1431275";"";"";"";"0"
"2022";"Canada";"2016A000011124";"Revenu disponible des ménages";"Dollars";"81";"millions";"6";"v1043020117";"1.1";"1508581";"";"";"";"0"
"2023";"Canada";"2016A000011124";"Revenu disponible des ménages";"Dollars";"81";"millions";"6";"v1043020117";"1.1";"1588839";"";"";"";"0"
"2024";"Canada";"2016A000011124";"Revenu disponible des ménages";"Dollars";"81";"millions";"6";"v1043020117";"1.1";"1709311";"";"";"";"0"
"2020";"Canada";"2016A000011124";"Plus : transferts sociaux en nature";"Dollars";"81";"millions";"6";"v1043020118";"1.2";"369730";"";"";"";"0"
"2021";"Canada";"2016A000011124";"Plus : transferts sociaux en nature";"Dollars";"81";"millions";"6";"v1043020118";"1.2";"401574";"";"";"";"0"
"2022";"Canada";"2016A000011124";"Plus : transferts sociaux en nature";"Dollars";"81";"millions";"6";"v1043020118";"1.2";"430987";"";"";"";"0"
"2023";"Canada";"2016A000011124";"Plus : transferts sociaux en nature";"Dollars";"81";"millions";"6";"v1043020118";"1.2";"456267";"";"";"";"0"
"2024";"Canada";"2016A000011124";"Plus : transferts sociaux en nature";"Dollars";"81";"millions";"6";"v1043020118";"1.2";"490670";"";"";"";"0"
"2020";"Canada";"2016A000011124";"Égale : revenu disponible ajusté des ménages";"Dollars";"81";"millions";"6";"v1043020119";"1.3";"1757391";"";"";"";"0"
"2021";"Canada";"2016A000011124";"Égale : revenu disponible ajusté des ménages";"Dollars";"81";"millions";"6";"v1043020119";"1.3";"1832849";"";"";"";"0"
"2022";"Canada";"2016A000011124";"Égale : revenu disponible ajusté des ménages";"Dollars";"81";"millions";"6";"v1043020119";"1.3";"1939568";"";"";"";"0"
"2023";"Canada";"2016A000011124";"Égale : revenu disponible ajusté des ménages";"Dollars";"81";"millions";"6";"v1043020119";"1.3";"2045106";"";"";"";"0"
"2024";"Canada";"2016A000011124";"Égale : revenu disponible ajusté des ménages";"Dollars";"81";"millions";"6";"v1043020119";"1.3";"2199981";"";"";"";"0"
"2020";"Canada";"2016A000011124";"Revenu disponible ajusté des ménages";"Dollars";"81";"millions";"6";"v1059484362";"1.7";"1757391";"";"";"";"0"
"2021";"Canada";"2016A000011124";"Revenu disponible ajusté des ménages";"Dollars";"81";"millions";"6";"v1059484362";"1.7";"1832849";"";"";"";"0"
"2022";"Canada";"2016A000011124";"Revenu disponible ajusté des ménages";"Dollars";"81";"millions";"6";"v1059484362";"1.7";"1939568";"";"";"";"0"
"2023";"Canada";"2016A000011124";"Revenu disponible ajusté des ménages";"Dollars";"81";"millions";"6";"v1059484362";"1.7";"2045106";"";"";"";"0"
"2024";"Canada";"2016A000011124";"Revenu disponible ajusté des ménages";"Dollars";"81";"millions";"6";"v1059484362";"1.7";"2199981";"";"";"";"0"
"2020";"Canada";"2016A000011124";"Moins : consommation finale effective des ménages";"Dollars";"81";"millions";"6";"v1043020120";"1.4";"1595726";"";"";"";"0"
"2021";"Canada";"2016A000011124";"Moins : consommation finale effective des ménages";"Dollars";"81";"millions";"6";"v1043020120";"1.4";"1737931";"";"";"";"0"
"2022";"Canada";"2016A000011124";"Moins : consommation finale effective des ménages";"Dollars";"81";"millions";"6";"v1043020120";"1.4";"1919862";"";"";"";"0"
"2023";"Canada";"2016A000011124";"Moins : consommation finale effective des ménages";"Dollars";"81";"millions";"6";"v1043020120";"1.4";"2028370";"";"";"";"0"
"2024";"Canada";"2016A000011124";"Moins : consommation finale effective des ménages";"Dollars";"81";"millions";"6";"v1043020120";"1.4";"2143296";"";"";"";"0"
"2020";"Canada";"2016A000011124";"Plus : variation des droits de pension";"Dollars";"81";"millions";"6";"v1043020121";"1.5";"38999";"";"";"";"0"
"2021";"Canada";"2016A000011124";"Plus : variation des droits de pension";"Dollars";"81";"millions";"6";"v1043020121";"1.5";"42432";"";"";"";"0"
"2022";"Canada";"2016A000011124";"Plus : variation des droits de pension";"Dollars";"81";"millions";"6";"v1043020121";"1.5";"40585";"";"";"";"0"
"2023";"Canada";"2016A000011124";"Plus : variation des droits de pension";"Dollars";"81";"millions";"6";"v1043020121";"1.5";"42727";"";"";"";"0"
"2024";"Canada";"2016A000011124";"Plus : variation des droits de pension";"Dollars";"81";"millions";"6";"v1043020121";"1.5";"47345";"";"";"";"0"
"2020";"Canada";"2016A000011124";"Égale : épargne net des ménages";"Dollars";"81";"millions";"6";"v1043020122";"1.6";"200664";"";"";"";"0"
"2021";"Canada";"2016A000011124";"Égale : épargne net des ménages";"Dollars";"81";"millions";"6";"v1043020122";"1.6";"137350";"";"";"";"0"
"2022";"Canada";"2016A000011124";"Égale : épargne net des ménages";"Dollars";"81";"millions";"6";"v1043020122";"1.6";"60291";"";"";"";"0"
"2023";"Canada";"2016A000011124";"Égale : épargne net des ménages";"Dollars";"81";"millions";"6";"v1043020122";"1.6";"59463";"";"";"";"0"
"2024";"Canada";"2016A000011124";"Égale : épargne net des ménages";"Dollars";"81";"millions";"6";"v1043020122";"1.6";"104030";"";"";"";"0"


